,0
0,0.16000000000000003
1,0.3
2,0.47000000000000003
3,-0.4
4,0.1125
5,0.29
6,0.27
7,0.09999999999999999
8,0.31249999999999994
9,0.3
10,0.05
11,0.07500000000000001
12,0.35000000000000003
13,0.32499999999999996
14,-1.8
15,-1.5
16,0.02
17,0.18
18,0.29
19,0.075
20,0.325
21,0.25999999999999995
22,0.25999999999999995
23,-0.014285714285714287
24,0.22999999999999998
25,0.36250000000000004
26,0.13
27,-0.54
28,-0.7333333333333334
29,0.125
30,0.3375
31,0.11249999999999999
32,-0.8333333333333334
33,0.22499999999999998
34,0.33749999999999997
35,0.11249999999999999
36,-0.775
37,0.3125
38,-0.08823529411764706
39,-0.07142857142857144
40,0.1125
41,0.11249999999999999
42,0.05
43,0.1
44,0.43000000000000005
45,0.47000000000000003
46,0.04
47,0.11
48,0.27999999999999997
49,0.47000000000000003
50,0.47
51,0.48
52,0.19
53,0.41
54,0.29
55,0.25
56,0.48
57,0.02222222222222222
58,0.48
59,0.11
60,0.33749999999999997
61,0.5
62,0.44
63,0.3625
64,0.47000000000000003
65,0.27999999999999997
66,-0.07142857142857142
67,0.10000000000000002
68,0.375
69,0.4700000000000001
70,0.37500000000000006
71,0.45999999999999996
72,-0.13749999999999998
73,0.0125
74,-0.25
75,-1.5499999999999998
76,-0.6
77,0.10000000000000002
78,-0.75
79,0.27
80,0.48000000000000004
81,0.27999999999999997
82,0.29
83,0.3125
84,-0.2125
85,0.11000000000000001
86,0.34
87,0.48
88,0.08750000000000001
89,0.32999999999999996
90,0.11249999999999999
91,0.4799999999999999
92,0.4799999999999999
93,0.30999999999999994
94,0.49000000000000005
95,-0.6666666666666666
96,0.42
97,0.35
98,0.29000000000000004
99,0.35000000000000003
100,-0.1125
101,-1.7
102,0.49
103,-0.11250000000000002
104,-0.0375
105,-0.7000000000000001
106,0.23750000000000004
107,0.075
108,0.32500000000000007
109,0.20000000000000004
110,0.25999999999999995
111,0.30000000000000004
112,0.49000000000000005
113,0.36250000000000004
114,0.35
115,0.3125
116,0.33749999999999997
117,0.21000000000000002
118,-0.7333333333333333
119,0.39
120,0.45
121,0.27999999999999997
122,0.45
123,0.29
124,-0.014285714285714285
125,-0.66
126,-0.7666666666666667
127,0.125
128,-0.11249999999999999
129,0.10999999999999999
130,-0.2
131,0.375
132,0.325
133,0.48
134,0.47000000000000003
135,0.3
136,0.49000000000000005
137,0.35
138,0.28
139,0.48000000000000004
140,0.125
141,0.27
142,0.47
143,0.48000000000000004
144,0.26
145,0.030000000000000006
146,0.13749999999999998
147,0.27
148,0.04
